epoch,train_tot,train_nll,train_kl,val_tot,val_nll,val_kl,train,val
1,76880.01735606093,75921.02844498005,958.9889110808676,55797.14157039561,54818.347406914894,978.7941634807181,76880.01735606093,55797.14157039561
2,53726.90448517495,52768.060214428195,958.8442707467586,46083.86373836436,45102.985704787236,980.8780335771277,53726.90448517495,46083.86373836436
3,45276.42921480219,44318.53698470745,957.8922300947473,30177.986639793882,29197.240026595744,980.7466131981383,45276.42921480219,30177.986639793882
4,27975.354183115858,27017.045358211435,958.3088249044215,18580.74928316157,17601.04055851064,979.7087246509309,27975.354183115858,18580.74928316157
5,19569.451252389463,18610.733299742355,958.7179526471077,11246.657881067154,10268.99925199468,977.6586290724734,19569.451252389463,11246.657881067154
6,13350.284347209525,12391.95335355718,958.3309936523438,14209.752171293218,13231.359582779256,978.3925885139628,13350.284347209525,14209.752171293218
7,9241.626075257645,8283.123772803774,958.502302453873,6333.880661984707,5353.128812749335,980.7518492353723,9241.626075257645,6333.880661984707
8,6425.9666157174615,5466.172674300823,959.793941416639,5592.609728224734,4610.312354554521,982.2973736702128,6425.9666157174615,5592.609728224734
9,3758.606497906624,2799.759023463472,958.8474744431516,2021.6156759059174,1042.3140219830452,979.3016539228723,3758.606497906624,2021.6156759059174
10,2878.0701037467793,1918.722446198159,959.3476575486203,5166.980720682347,4189.788036589927,977.1926840924202,2878.0701037467793,5166.980720682347
11,2054.7770483138715,1095.231539462475,959.5455088513962,1635.5433193774934,656.080397585605,979.4629217918883,2054.7770483138715,1635.5433193774934
12,1686.3709392141789,727.6017949530419,958.769144261137,1694.719362948803,715.472791306516,979.2465716422872,1686.3709392141789,1694.719362948803
13,1574.630376125904,616.1849506459338,958.44542547997,1269.9139936731217,290.5915722136802,979.3224214594414,1574.630376125904,1269.9139936731217
14,1247.607311654598,289.4091447870782,958.19816686752,1109.7734998337767,132.77799825465425,976.9955015791223,1247.607311654598,1109.7734998337767
15,1147.1566062277936,187.9872012036912,959.1694050241024,1149.489757781333,172.82870808053525,976.6610497007979,1147.1566062277936,1149.489757781333
16,1110.9795432395124,152.36432444795648,958.6152187915559,1118.6222456262467,140.81466999459775,977.8075756316489,1110.9795432395124,1118.6222456262467
17,1079.2647057391227,121.0453609710044,958.2193447681184,1079.5232855614195,101.39886734333444,978.1244182180851,1079.2647057391227,1079.5232855614195
