file,DDA_check,SF_check,Npp,Dmob,Dve,V/V0,Mtot/Mbc,core_Df,core_Df_error,Df,Df_error,x,coating_RI,wavelength,core_PSP,Cext,Qext,Cabs,Qabs,SSA,g,Cext_HS,Qext_HS,Cabs_HS,Qabs_HS,SSA_HS,g_HS,Cext_CS,Qext_CS,Cabs_CS,Qabs_CS,SSA_CS,g_CS
coated_74_8,TRUE,TRUE,344,1.14151,1.048912,52.49185,35.3279,1.92533,0.0151843,3,0,0.341965933,(1.6+0j),0.8,0.326089453,3.386062093,3.918563858,0.280207297,0.324273494,0.917246852,0.848266366,3.51172008,4.063983178,0.294528226,0.340846573,0.916129925,0.68421986,3.674797912,4.252707094,0.206080286,0.238489058,0.943920648,0.649904918
coated_74_9,TRUE,TRUE,344,1.16321,1.069784,55.71235,37.4749,1.99303,0.0121426,3,0,0.341825745,(1.6+0.03108j),0.85,0.349536597,3.482382214,3.874309918,0.645831259,0.718516894,0.814543258,0.873363627,3.428065846,3.813880468,0.696499128,0.774887222,0.796824461,0.725346114,3.448423037,3.836528776,0.662381923,0.736930266,0.807917441,0.693928736
coated_74_10,TRUE,TRUE,344,1.36558,1.294446,98.68765,66.1251,2.15051,0.0212334,3,0,0.338461996,(1.6+0.08241j),0.85,0.460626149,4.076425077,3.097574123,1.568427935,1.191809415,0.615244263,0.915697519,3.919496509,2.978328004,1.581723064,1.201912053,0.596447385,0.766682337,4.031897342,3.063738603,1.569494018,1.192619505,0.61073066,0.75683666
coated_75_1,TRUE,TRUE,455,0.670891,0.307654,1,1,1.81104,0.011236,1.908948459,0,0.460717989,(1.6+0j),0.8,0.120600516,0.139764393,1.880102507,0.119790075,1.611409145,0.142914209,0.825983192,0.202819113,2.728310946,0.12079253,1.624894109,0.404432214,0.347771016,0.202819113,2.728310946,0.12079253,1.624894109,0.404432214,0.347771016
coated_75_2,TRUE,TRUE,455,0.66756,0.330862,1.244545,1.16303,1.81924,0.00910056,1.926673287,0,0.444074313,(1.6+0.04473j),1.05,0.115010904,0.121353928,1.411465206,0.105180161,1.223348434,0.133277654,0.719581914,0.170164126,1.979175678,0.113574899,1.320987462,0.332556743,0.241800862,0.172926548,2.011305357,0.113953651,1.325392723,0.341028592,0.21996117
coated_75_3,TRUE,TRUE,455,0.660245,0.348502,1.45465,1.3031,1.85155,0.0115995,2.00171646,0,0.431722327,(1.6+0.24916j),0.45,0.323175512,0.408794265,4.285528265,0.26056705,2.731612331,0.362596123,0.876601027,0.277927561,2.913608435,0.148427047,1.556010836,0.4659506,0.711093783,0.262604081,2.752967222,0.145042533,1.520529826,0.447676015,0.716101937
coated_75_4,TRUE,TRUE,455,0.656143,0.367306,1.70188,1.46792,1.88129,0.0104634,2.028937835,0,0.420553424,(1.6+0.27009j),0.35,0.497558342,0.561835149,5.302283919,0.317191784,2.993477536,0.435436204,0.917004598,0.293809602,2.77280966,0.156548657,1.477418118,0.467176511,0.780747408,0.274658077,2.592068346,0.155838728,1.470718204,0.432608246,0.818975116
coated_75_5,TRUE,TRUE,455,0.657555,0.400434,2.20633,1.80422,1.93783,0.00735503,2.166867026,0,0.405099914,(1.6+0.00175j),0.9,0.24362074,0.218286142,1.733302616,0.145096491,1.152139689,0.335292246,0.73407183,0.289364215,2.297698549,0.159148192,1.263717316,0.450007349,0.498216996,0.278249177,2.20943951,0.155130466,1.231814538,0.44247646,0.429250646
coated_75_6,TRUE,TRUE,455,0.65147,0.440922,2.94769,2.29846,2.01003,0.00860009,2.291884892,0,0.387550726,(1.6+0j),0.3,0.940184439,0.702355653,4.599849936,0.315575875,2.066761563,0.55068935,0.949034575,0.404911537,2.651836429,0.21814335,1.428658926,0.461256769,0.834467951,0.443151986,2.902279812,0.203341019,1.331715873,0.541148353,0.775922378
coated_75_7,TRUE,TRUE,455,0.669857,0.498518,4.25935,3.1729,2.05755,0.012121,2.067086842,0,0.3723679,(1.6+0.18807j),0.6,0.543852805,0.657845616,3.370329916,0.328845151,1.684767099,0.500118048,0.870856157,0.585364773,2.998989976,0.28325718,1.451206975,0.516101425,0.75490726,0.516760675,2.647511698,0.278291813,1.42576799,0.461468672,0.762188051
coated_75_8,TRUE,TRUE,455,1.44771,1.342394,83.30455,55.8697,2.13305,0.00784494,3,0,0.340499223,(1.6+0j),0.8,0.473692367,4.416434929,3.120483927,0.327522709,0.231415013,0.925840024,0.790984487,3.327145995,2.350834048,0.354456671,0.25044552,0.893465249,0.511857326,3.580595042,2.529911446,0.231876565,0.163835108,0.935240774,0.502165818
coated_75_9,TRUE,TRUE,455,1.09238,0.996228,34.0357,23.0238,2.23226,0.0139568,3,0,0.342885968,(1.6+0.03648j),0.85,0.526945256,2.964955362,3.803739708,0.637252852,0.817531356,0.785071688,0.880033034,2.880552116,3.695458827,0.622757902,0.798935792,0.783806063,0.747707243,2.822201257,3.62060054,0.579405298,0.743318759,0.794697385,0.697064876
coated_75_10,TRUE,TRUE,455,1.52532,1.409502,96.54715,64.6981,2.44911,0.0107058,3,0,0.340722935,(1.6+0j),0.95,0.633092498,5.508847307,3.530526378,0.280174371,0.179558981,0.949141017,0.81264494,5.069305326,3.248831411,0.36065748,0.231139234,0.928854654,0.591642384,5.22396413,3.347949604,0.226966469,0.145458943,0.956552828,0.550626614
coated_76_1,TRUE,TRUE,333,0.584709,0.277266,1,1,1.77071,0.0123314,1.895222069,0,0.461793945,(1.6+0j),0.75,0.119280971,0.110252534,1.826019722,0.094239767,1.560813773,0.145237176,0.779530325,0.160782918,2.662911858,0.09743629,1.613755082,0.393988548,0.324320691,0.160782918,2.662911858,0.09743629,1.613755082,0.393988548,0.324320691
coated_76_2,TRUE,TRUE,333,0.585738,0.30769,1.367035,1.24469,1.76033,0.0115356,1.881382647,0,0.438515113,(1.6+0j),1.05,0.097174496,0.087499956,1.176768922,0.076684706,1.031316842,0.123602924,0.692677048,0.121470394,1.633630356,0.084507394,1.136522564,0.304296373,0.205954213,0.125037552,1.681604338,0.08553885,1.150394405,0.315894721,0.178963587
coated_76_3,TRUE,TRUE,333,0.593241,0.31954,1.53073,1.35382,1.79004,0.0204111,1.940658408,0,0.432582189,(1.6+0.01867j),0.65,0.194124099,0.18111913,2.258520208,0.132120612,1.647518254,0.270531985,0.790051164,0.218031904,2.718815297,0.119985727,1.496198599,0.449687296,0.531909248,0.206887708,2.579849343,0.115447749,1.439610899,0.441978694,0.502911373
coated_76_4,TRUE,TRUE,333,0.590936,0.342516,1.88686,1.59124,1.84435,0.0135523,1.995987342,0,0.417990665,(1.6+0.2105j),0.6,0.253822132,0.258728995,2.807976662,0.174645749,1.89542415,0.324985789,0.804224598,0.25838411,2.804233634,0.140393826,1.523689245,0.456646826,0.615293407,0.241579192,2.621850453,0.136236206,1.478566738,0.43605985,0.607738394
coated_76_5,TRUE,TRUE,333,0.588792,0.382666,2.632225,2.08815,1.90018,0.0162296,2.174459693,0,0.396937764,(1.6+0j),0.65,0.302176979,0.284318115,2.472150445,0.154404607,1.342550469,0.45693011,0.779754735,0.316446993,2.751511536,0.14834261,1.289841304,0.531224461,0.625517375,0.274661722,2.388187956,0.143681758,1.249315124,0.476877387,0.619709807
coated_76_6,TRUE,TRUE,333,0.588624,0.39902,2.984125,2.32275,2.00438,0.0136191,2.087754153,0,0.389674456,(1.6+0j),0.65,0.383765476,0.325128345,2.600013622,0.159156987,1.272759947,0.510479508,0.766331885,0.349252775,2.792933888,0.155777143,1.245731728,0.553970206,0.640498714,0.297854629,2.381908886,0.151349965,1.210328098,0.491866332,0.636444962
coated_76_7,TRUE,TRUE,333,0.77538,0.643932,12.54655,8.6977,2.05712,0.0174126,3,0,0.355617038,(1.6+0j),0.75,0.380007425,1.077413242,3.308357339,0.218717154,0.671603496,0.796997897,0.851411417,1.195573642,3.671186392,0.222297164,0.682596451,0.814066523,0.727197965,1.091883964,3.35279184,0.195578315,0.600552255,0.820879946,0.621882085
coated_76_8,TRUE,TRUE,333,0.790927,0.670524,14.166775,9.77785,2.18215,0.0183041,3,0,0.352859836,(1.6+0.00243j),1,0.349051012,0.954507388,2.703091574,0.193356957,0.547572044,0.79742749,0.788263507,0.952264292,2.696739299,0.1672888,0.473749026,0.824325241,0.622494821,0.875999898,2.480764394,0.179300066,0.507764008,0.795319536,0.587802684
coated_76_9,TRUE,TRUE,333,0.704383,0.623574,11.404075,7.93605,2.33925,0.0237942,3,0,0.348121961,(1.6+0j),0.35,1.280538865,1.007002813,3.297348151,0.315044455,1.031587237,0.687146401,0.897905153,0.728393237,2.385063938,0.345535864,1.131428858,0.525619066,0.695257697,1.003151197,3.284736348,0.202395842,0.66272859,0.798239944,0.586279212
coated_76_10,TRUE,TRUE,333,0.617347,0.546152,7.666405,5.44427,2.49887,0.0188265,3,0,0.348958569,(1.6+0j),0.75,0.732723191,0.667760552,2.850386954,0.198688655,0.848117708,0.702455238,0.81518633,0.732568309,3.127023818,0.201479301,0.860029793,0.724968582,0.694460148,0.611721622,2.611180496,0.186863619,0.797641639,0.694528341,0.62323311
coated_77_1,TRUE,TRUE,357,0.612733,0.283738,1,1,1.83067,0.0111158,1.948111476,0,0.464320313,(1.6+0.04107j),0.3,0.296732156,0.358911143,5.676257047,0.230165686,3.640119904,0.358711229,0.92634457,0.178066132,2.816154237,0.093555591,1.479601826,0.474601992,0.738261131,0.178066132,2.816154237,0.093555591,1.479601826,0.474601992,0.738261131
coated_77_2,TRUE,TRUE,357,0.606675,0.30416,1.232005,1.15467,1.81299,0.0145188,1.873032302,0,0.446780048,(1.6+0.1786j),1.05,0.091753071,0.09627724,1.325041713,0.085182929,1.172353247,0.11523295,0.678711404,0.129746648,1.785673551,0.09086483,1.250551948,0.299674934,0.198136899,0.131416788,1.808659304,0.091345813,1.257171612,0.304915188,0.184203621
coated_77_3,TRUE,TRUE,357,0.617476,0.33281,1.61467,1.40978,1.83831,0.0174435,2.005158413,0,0.430573888,(1.6+0.20077j),0.45,0.251746915,0.34136634,3.924082057,0.220340657,2.532864897,0.354533147,0.874499574,0.256500689,2.948532511,0.135991911,1.56325728,0.469818537,0.705663181,0.237721736,2.732664267,0.132149946,1.519093043,0.444098179,0.711446378
coated_77_4,TRUE,TRUE,357,0.614186,0.3507,1.88881,1.59254,1.85566,0.020053,2.125435626,0,0.419369463,(1.6+0.19539j),0.55,0.240545927,0.309480126,3.203843925,0.199443613,2.064708377,0.355552759,0.839243696,0.282784767,2.927484457,0.151156226,1.564820857,0.465472531,0.668694657,0.260510365,2.696892244,0.146464449,1.516249988,0.437778802,0.668149116
coated_77_5,TRUE,TRUE,357,0.604086,0.366836,2.161585,1.77439,1.89158,0.0148379,2.091887202,0,0.408362472,(1.6+0.04816j),0.55,0.294269653,0.325331363,3.078166821,0.188548307,1.783975384,0.420442267,0.828573099,0.316729028,2.996774662,0.15930807,1.507314915,0.497020936,0.689447226,0.277078011,2.621611184,0.152253823,1.440570199,0.450501963,0.687893341
coated_77_6,TRUE,TRUE,357,0.608092,0.400798,2.8198,2.2132,1.95821,0.014643,2.265882712,0,0.393629059,(1.6+0j),0.75,0.295632059,0.269257469,2.134159072,0.144973203,1.149070726,0.4615815,0.71267819,0.323325936,2.562710636,0.153567498,1.217189887,0.52503811,0.593627701,0.287755624,2.280777121,0.150084514,1.189583444,0.478430648,0.569034291
coated_77_7,TRUE,TRUE,357,0.636024,0.479984,4.84732,3.56488,1.97962,0.015087,1.922071049,0,0.371092942,(1.6+0.20611j),0.9,0.271086098,0.402372726,2.223745755,0.231229733,1.277910019,0.425334476,0.717714588,0.437450232,2.417604463,0.229902262,1.270573644,0.47444933,0.596663508,0.413657266,2.286110692,0.228825541,1.264623055,0.44682335,0.59319025
coated_77_8,TRUE,TRUE,357,0.798441,0.684674,14.07184,9.71456,2.02612,0.0181873,3,0,0.351374981,(1.6+0j),0.75,0.372111709,1.292256019,3.509869828,0.244793256,0.664877895,0.810569073,0.851287007,1.352451833,3.673366432,0.233736026,0.634845583,0.827176081,0.716047242,1.203097555,3.267708371,0.198528404,0.53921889,0.834985614,0.601819009
coated_77_9,TRUE,TRUE,357,0.748033,0.643954,11.7058,8.1372,2.14181,0.0200816,3,0,0.351305433,(1.6+0.21722j),0.3,1.11843512,0.987663789,3.032561098,0.503371724,1.545572012,0.490341015,0.969835423,0.810579166,2.488833623,0.427297722,1.311991454,0.472848871,0.889601652,0.816590161,2.507290014,0.431546133,1.325035938,0.471526656,0.889516537
coated_77_10,TRUE,TRUE,357,0.774045,0.69438,14.7061,10.1374,2.38992,0.0134542,3,0,0.346017908,(1.6+0j),0.35,1.390050277,1.197188036,3.161390034,0.328372213,0.867125806,0.725713754,0.883444477,0.835072446,2.205158778,0.40011852,1.056584816,0.520857715,0.668700381,1.039915969,2.746084893,0.202283728,0.534166515,0.805480698,0.426999615
