epoch,train_tot,train_nll,train_kl,val_tot,val_nll,val_kl,train,val
1,70892.05743018616,75920.59967170878,9.589925978640295,46679.90691489362,50703.54587765958,9.809758352726064,70892.05743018616,46679.90691489362
2,57654.904837101065,53070.09142287234,19.17819642411902,33317.34375,48808.81083776596,19.580856050531914,57654.904837101065,33317.34375
3,36431.75123628657,44319.86140084774,28.741954553482376,19858.113031914894,25089.208111702126,29.387820915059837,36431.75123628657,19858.113031914894
4,27696.683879446475,27497.83431682181,38.335395455867676,17496.789228723403,20905.929438164894,39.077762217420215,27696.683879446475,17496.789228723403
5,19282.83526221742,16126.854840217753,47.95304818660655,10270.052152593085,15889.327044547872,49.00977133892953,19282.83526221742,10270.052152593085
